id;ma_kich_ban;ma_thiet_bi;loai_thiet_bi;day_chuyen;ma_san_pham;version_san_pham;ngay_tao;time_update;trang_thai
1;Granite Fresh Shoes;Bhutanese Villages;Lilangeni;Internal platforms;matrix Republic Bedfordshire;CSS Quality;2023-10-16T16:56:08;2023-10-16T22:31:32;reciprocal Tasty
2;Optimization;synthesize Park;paradigms open-source New;protocol granular;Beauty Forward;incentivize Account Account;2023-10-16T16:30:01;2023-10-16T15:25:23;Michigan
3;Checking;bus infomediaries vortals;Consultant Web Plastic;Armenia;engage Wyoming AGP;bus Nuevo;2023-10-17T03:30:41;2023-10-16T07:38:46;Cambridgeshire Fresh
4;infomediaries;Cotton;Health Soft;Metal Representative;Borders;infrastructure Technician;2023-10-17T01:56:37;2023-10-16T23:53:54;SAS Market
5;Lakes;connect;Director;Operative connect;input secured Wooden;backing user-centric backing;2023-10-16T23:07:53;2023-10-16T11:23:23;Account
6;FTP payment orange;Awesome;Granite;withdrawal visionary;Small;function Trafficway;2023-10-16T04:22:38;2023-10-17T03:44:56;back Florida
7;Account expedite Cheese;card bandwidth-monitored up;Center Cambridgeshire;Optional front-end bluetooth;Bulgarian Ergonomic e-commerce;Jersey Minnesota;2023-10-16T09:05:14;2023-10-16T08:54:09;Arkansas Rustic
8;Designer;azure Sleek innovative;cross-platform Table Outdoors;up;PNG Ramp Polarised;Coordinator;2023-10-16T20:31:56;2023-10-16T17:34:54;needs-based
9;indexing Assurance;primary Checking;Ghana payment;Dynamic;Berkshire;dot-com Games turquoise;2023-10-16T16:44:31;2023-10-16T16:53:19;payment Pizza white
10;Frozen;Quality extensible didactic;Granite hacking Metal;Fish;Checking quantify;payment payment overriding;2023-10-17T01:33:40;2023-10-16T19:13:08;Integration SMTP Borders
