id;po_number;vendor_code;vendor_name;entry_date;storage_unit;quantity_container;total_quantity;status;created_by;created_at;updated_by;updated_at;deleted_by;deleted_at
1;ruin before;compromise filter ew;vastly;2026-03-18;nautical impartial;14829;27157;down scrutinise frightfully;once chubby that;2026-03-18T18:37:54;rarely rust;2026-03-17T22:42:33;kookily;2026-03-18T00:11:57
2;hence fun concerning;cannibalise fumigate;ethical;2026-03-18;whereas splosh thorny;2388;31405;scarily;packaging scamper ne;2026-03-18T00:24:03;almost;2026-03-17T19:34:17;courteous unit quip;2026-03-18T16:50:12
3;yesterday until cons;scarily label since;because;2026-03-17;account;27703;1555;physically knowledgeably forenenst;whoa which;2026-03-18T16:12:20;into;2026-03-18T02:05:13;depart giggle;2026-03-18T18:54:16
4;scarily;factorise quickly pu;now drat lasting;2026-03-18;reassemble frenetically;16563;21271;but;waterlogged salty go;2026-03-18T14:07:28;creak how instead;2026-03-18T06:15:07;big;2026-03-18T15:06:44
5;wetly separate furth;stool;valentine separately incinerate;2026-03-18;towards upwardly pish;2768;26416;sew gray scout;above redress;2026-03-17T22:14:32;yippee except not;2026-03-18T10:32:34;amendment;2026-03-18T11:42:10
6;successfully abaft u;scrabble as declarat;chilly drat unlike;2026-03-18;considering volleyball;281;2646;defensive;instantly;2026-03-18T17:38:35;waterlogged graceful;2026-03-18T14:56:42;boohoo incidentally ;2026-03-17T19:15:55
7;tarragon phooey;duh observe incident;unnaturally soulful supposing;2026-03-18;or yahoo beloved;17223;29851;loyally;coil when tremendous;2026-03-18T12:41:36;primary boldly;2026-03-18T14:24:18;atop exalt indeed;2026-03-17T19:28:13
8;aside;weakly;absent remorseful;2026-03-18;lest before whether;24159;7235;yieldingly canter;before pivot palatab;2026-03-18T04:01:25;butter;2026-03-18T13:45:35;quietly representati;2026-03-18T06:56:00
9;wearily;ha;brr;2026-03-18;chatter promptly starch;15077;18952;where loyally;pish oh recommendati;2026-03-18T00:09:08;plait;2026-03-18T15:44:32;and;2026-03-18T06:12:42
10;obstruct kit;quit;wobbly hose diver;2026-03-17;confirm;24174;17999;beside;concerning wonderful;2026-03-18T07:17:33;every along although;2026-03-18T02:32:27;round freely um;2026-03-18T17:26:43
