id;inbound_wms_session_id;warehouse_note_info_id;serial_pallet;wms_send_status;created_by;created_at
1;31971;1305;ameliorate quirkily trusty;joy hundred cutover;whether quizzic;2026-04-02T12:51:36
2;28544;25179;misjudge underneath;when excitedly;kiddingly;2026-04-02T13:04:59
3;13911;28494;tenderly blacken;lest;why self-relian;2026-04-02T19:58:00
4;31516;13124;abnegate over among;aha pharmacopoeia geez;devoted;2026-04-03T03:06:45
5;16480;17602;down sonata;alarmed;intensely;2026-04-02T14:25:04
6;13874;9075;at silk;necklace frizzy inasmuch;on;2026-04-02T22:47:58
7;15822;12239;phew;webbed pish;glimmer over;2026-04-02T22:36:01
8;8552;25289;finger jubilant;ew after;pleasant brief ;2026-04-02T07:31:54
9;24258;26478;offend knottily;pear coaxingly;busily swim dem;2026-04-03T00:22:21
10;19522;10083;analogy above purse;anxiously forecast extension;zowie hope fing;2026-04-02T07:06:37
