id;po_number;vendor_code;vendor_name;entry_date;storage_unit;quantity_container;total_quantity;status;created_by;created_at;updated_by;updated_at;deleted_by;deleted_at
1;as;messy allocation mas;rag vol railway;2026-03-17;fashion draw phooey;23373;30293;thyme;um except;2026-03-18T04:00:00;confused once;2026-03-18T06:14:45;mysterious;2026-03-18T13:43:30
2;ouch electric;treasure;brr to;2026-03-18;till;18956;7011;unlike final;red eek clone;2026-03-18T10:14:03;issue;2026-03-18T08:22:39;down shipper;2026-03-18T11:44:01
3;juicy precedent bell;ugh indeed creamy;warp wide-eyed pick;2026-03-18;within swiftly heighten;3087;6979;emboss for;cork;2026-03-18T09:07:18;apud;2026-03-18T15:33:02;carelessly owlishly;2026-03-18T13:55:32
4;scarily;bravely unfortunate;briskly;2026-03-18;near;11368;20412;cauliflower;athwart whose;2026-03-18T14:12:23;gee;2026-03-18T11:13:38;connect silently;2026-03-17T22:46:19
5;mysteriously;yuck mockingly;same;2026-03-17;overvalue;9686;5504;receptor tightly;indeed even clamour;2026-03-18T01:19:06;likewise fill whoeve;2026-03-18T00:02:58;because;2026-03-18T08:41:08
6;woot until;yahoo bravely;joshingly;2026-03-18;youthfully shrilly yieldingly;23704;8862;long-term inasmuch pillbox;thoroughly;2026-03-18T00:53:51;superficial afterwar;2026-03-18T12:06:24;fireplace enthusiast;2026-03-18T13:49:21
7;alienated;milestone across cle;mmm graffiti;2026-03-17;mid absent;25634;19082;anenst;impeccable uh-huh;2026-03-18T12:44:21;zowie;2026-03-17T22:08:26;willow mesh;2026-03-18T08:37:51
8;gosh;yowza inasmuch;uh-huh enrich;2026-03-18;loosely unto meaningfully;30384;4666;bonfire skyscraper;fiddle;2026-03-18T17:16:13;provided;2026-03-18T04:28:28;yesterday phooey glo;2026-03-17T23:11:45
9;scoff;oof consequently;sometimes;2026-03-18;rightfully affiliate;18054;642;creator annual;incidentally ha psst;2026-03-18T09:01:45;against;2026-03-18T19:08:55;cautiously;2026-03-18T06:15:30
10;illusion noisily rep;whenever iterate les;pfft lend;2026-03-18;speedily tenderly;28969;30931;over barring;clamour;2026-03-18T03:40:36;after outrageous;2026-03-18T19:05:29;however upon;2026-03-17T22:58:07
