id;warehouse_note_info_id;serial_box;wms_send_status;created_by;created_at
1;837;republican;true;highlight;2026-04-11T13:58:18
2;2259;optimistically advanced needily;false;rebel;2026-04-11T17:29:32
3;3527;where immense against;false;repeatedly;2026-04-12T02:41:08
4;9145;reluctantly wearily;true;near um while;2026-04-11T05:12:40
5;11515;furthermore;false;except zowie;2026-04-11T07:26:22
6;9362;astride gently trained;true;whoa outlying;2026-04-12T03:04:07
7;11160;freely oh;false;beyond apropos;2026-04-12T02:15:39
8;11734;or casement;true;stranger;2026-04-11T15:43:18
9;13145;upon strictly;false;butter apropos;2026-04-12T01:28:12
10;13152;though stabilise whenever;false;boo yippee thou;2026-04-11T17:13:43
