id;ma_kich_ban;ma_thiet_bi;loai_thiet_bi;day_chuyen;ma_san_pham;version_san_pham;time_update;status
1;Marketing Ohio Gloves;deposit;Leone Mauritius enable;Dobra Developer;HDD Accounts;Rustic Connecticut;2023-10-16T14:21:40;CSS interfaces
2;applications payment Secured;Sausages back;Loan Account;SQL;Coordinator;Global silver database;2023-10-16T05:11:05;microchip Account frame
3;Representative;extensible;Sports Italy;Dynamic Namibia;Outlying;Avon calculate;2023-10-16T13:41:40;ubiquitous South
4;niches leverage connecting;Loan;cross-platform AGP Checking;morph Corporate CSS;Gorgeous;white exploit applications;2023-10-16T15:01:09;experiences Concrete
5;high-level Borders;quantifying;THX Islands;Fresh;markets card Home;Villages Future-proofed Quality;2023-10-16T08:50:34;Alley Meadow
6;Movies;Arkansas Egyptian HDD;bus;Manager;Movies Multi-lateral;navigating;2023-10-16T22:06:36;front-end Loan
7;Regional Fresh deposit;Maine Rustic;actuating Mauritania;Concrete Director;capacitor Macedonia generate;Borders;2023-10-16T11:47:54;Steel
8;Credit hybrid withdrawal;Product Direct;Table navigating;Bedfordshire;Product CFA;invoice United Communications;2023-10-17T03:04:48;blockchains Wooden
9;Data Faso;Persevering USB web-enabled;eyeballs;payment;open-source Wooden Steel;Mobility Avon;2023-10-16T07:15:33;plum Point
10;SMTP;Manager;Small Tennessee extend;focus;Accounts web-readiness seamless;Nebraska Strategist;2023-10-16T16:04:07;syndicate
