id;po_number;vendor_code;vendor_name;entry_date;storage_unit;tem_identification_scenario_id;status;created_by;created_at;updated_by;updated_at;deleted_by;deleted_at
1;obedient boastfully;despite marketplace ;till;2026-03-08;make bah delete;grandson teriyaki where;beyond gratefully;ack;2026-03-08T11:39:06;er;2026-03-08T14:24:03;ick finally tomatill;2026-03-08T16:57:13
2;mobilize;hmph granular;however supposing;2026-03-08;wombat whoa;justly incidentally;bah;segregate miserably ;2026-03-08T07:18:09;alb;2026-03-08T16:59:08;eek aboard rigidly;2026-03-08T02:07:03
3;geez around;wherever;safeguard;2026-03-08;of word procrastinate;pish woot the;insist badly bah;sadly collectivizati;2026-03-08T06:11:03;outlaw zowie;2026-03-08T16:30:05;after fooey overchar;2026-03-08T23:04:41
4;colorize overconfide;awful greedily awful;poorly nutritious pretend;2026-03-08;pish stratify;hm how yum;continually uh-huh if;marathon;2026-03-08T02:29:22;failing;2026-03-09T00:26:31;beautifully even;2026-03-08T17:20:44
5;thankfully indeed;ick lest;acidly supposing;2026-03-08;fooey;plus upbeat;vaguely;who tighten;2026-03-08T05:14:52;pharmacopoeia deliqu;2026-03-08T01:11:04;record repeat book;2026-03-08T20:39:42
6;pointed colorfully;deserted whenever sa;plus neglect inside;2026-03-08;amongst;who arraign;connect;where;2026-03-08T04:30:39;reconstitute freneti;2026-03-08T06:59:15;fog;2026-03-08T10:43:40
7;hastily amid sport;react controvert;brr where;2026-03-08;onto;what deliberately;rekindle;pish ew;2026-03-08T05:13:00;accompany;2026-03-08T15:35:56;petticoat;2026-03-08T10:02:13
8;newsprint;kindheartedly gosh u;till;2026-03-08;mmm huzzah um;yahoo whose deny;manipulate;wherever;2026-03-08T03:41:54;however ack;2026-03-08T18:30:34;indeed meanwhile;2026-03-08T11:17:16
9;phooey;as;apropos kit chime;2026-03-08;under french inculcate;gnaw;gosh;although nor gasp;2026-03-08T17:55:39;pish arrange;2026-03-08T22:51:18;psst;2026-03-08T02:31:47
10;bus pendant provided;blight once hovel;print simplistic;2026-03-08;afterwards;kookily abaft;clavicle esteemed;upliftingly;2026-03-08T21:02:54;unethically gee;2026-03-08T16:54:13;zebra unless gloat;2026-03-08T22:10:13
