id;item_code;item_name;itms_grp_cod;u_part_number
1;which;softly wherever;times;whoever ugh
2;boohoo because;soup;since shaft;silent drat millet
3;shoulder;than quickly;unused annual psst;archaeology sternly sparse
4;down;plump receptor;artistic;eek cop dress
5;next;upon;terrorise coast gah;vulgarise speedy woefully
6;aside before;hose since;broken;coop wavy swing
7;markup;pitiful;orchid bah;croon like whose
8;dearly um;yowza ouch mantua;kowtow blah incidentally;poorly
9;provided nerve;yawningly;emboss and whoa;taro
10;under bah by;fooey;brr;including cork
