id;ma_kich_ban;hang_lssx;thong_so;min_value;max_value;trungbinh;don_vi
1;integrate Generic efficient;92878;circuit Germany strategic;27086;92693;11366;Home of Operations
2;Savings incremental Kids;31177;Associate bottom-line Buckinghamshire;92815;23526;93705;Handmade Iowa
3;real-time Chicken;7658;Berkshire;82444;44724;49933;transmitter lime
4;Cambridgeshire;35976;Soft Reverse-engineered;32736;38506;18240;boliviano HTTP
5;Health;60486;iterate local;28383;65200;82046;Austria Principal
6;monitor revolutionize;41381;bypassing Israel;70975;45249;28374;Administrator regional overriding
7;Garden;29968;24/7 Outdoors;74035;706;11810;recontextualize backing Heights
8;Branding program process;55231;Grocery hardware Intelligent;49611;65242;72596;Optional channels haptic
9;Cotton Washington Bermudian;19077;Computers Kentucky;92600;79040;7908;asynchronous Berkshire
10;Car Mill;14224;viral Metal;55838;31098;36551;Fresh Bypass
