id;ma_kich_ban;hang_sxhn;thong_so;min_value;max_value;trungbinh;don_vi
1;Response Won withdrawal;49154;withdrawal Computer Gorgeous;49468;91212;88763;CSS strategic
2;Unit;18741;relationships panel Bahrain;26519;32070;27475;Dollar
3;Bike;89414;port;45171;54547;2202;Mali invoice
4;maroon Functionality holistic;17241;Home Legacy;13965;84895;95559;Buckinghamshire action-items
5;vertical primary input;65795;attitude-oriented;82134;20261;76284;Steel grey Quality-focused
6;Savings Account Streamlined;74525;open-source IB Account;4099;85280;19881;PCI human-resource programming
7;transmitting Frozen;61484;Concrete;42425;73143;52313;e-business front-end Table
8;Accounts compressing;39717;Ergonomic Gloves;16782;73571;10595;embrace
9;markets;39156;Guilder interfaces ivory;99553;33567;69409;Advanced
10;Toys;28618;sensor Jordan Account;38272;32863;86530;calculate Adaptive platforms
