id;vendor_code;vendor_name;mapping_config;created_by;created_at;updated_by;updated_at
1;inasmuch yesterday fortunately;coaxingly tightly informal;who;sashay gee excepting;2026-03-08T10:21:46;um;2026-03-08T17:50:35
2;well nor nifty;waterlogged hexagon yuck;gigantic anenst suddenly;fooey until even;2026-03-08T08:23:19;truthfully till;2026-03-08T03:21:58
3;carelessly;aha minus digitize;etch venture limply;uncork;2026-03-08T01:55:28;hole;2026-03-08T02:41:54
4;huff video;futon derby;insert shrilly;finished word clearl;2026-03-08T12:23:03;government instead n;2026-03-08T09:00:16
5;vivid hence whoever;gosh grass;intend deliberately given;cleaner venom vice;2026-03-08T13:10:57;against;2026-03-08T15:00:00
6;reboot save grandson;damp swine specific;numeric phooey;following psst;2026-03-08T19:25:21;satisfy;2026-03-08T21:49:33
7;hastily ha;youthful;sheepishly supplier;next inside;2026-03-08T19:12:51;atop chapel;2026-03-08T20:30:37
8;verbally;in supposing dividend;dependable failing hotfoot;pants kosher;2026-03-08T02:02:08;indeed oil contracto;2026-03-08T20:01:56
9;upside-down;save;aw;divert aw once;2026-03-08T14:47:37;different;2026-03-08T08:44:11
10;whether;physical;elderly opposite;generously what zowi;2026-03-08T12:14:35;incidentally hexagon;2026-03-08T15:27:15
