id;sap_code;sap_name;quantity_container;total_quantity;part_number
1;exhaust;versus a bitterly;2568;8074;controvert
2;since;duh tankful inasmuch;27110;31462;uh-huh fooey
3;gosh;alongside mmm low;778;10130;humiliating
4;once atomize why;shyly swerve poetry;20633;24840;deliberately scruple
5;appertain;carelessly;14389;5887;beside
6;drat than that;that ascribe neaten;1555;2821;phooey doorpost
7;unzip notwithstandin;terribly;29866;11924;meh hmph wherever
8;floodlight after exa;lined bleakly;348;30169;knotty mortar at
9;larva why;while trusty;19591;13991;creamy
10;gladly;yum along;825;18568;vainly hmph experience
