id;ma_lenh_san_xuat;sap_code;sap_name;work_order_code;version;storage_code;total_quantity;create_by;entry_time;trang_thai;comment
1;8445;deliverables Executive;Optional synthesizing;bandwidth firewall Steel;Pennsylvania;Soap;Shirt enhance metrics;deploy Table;turquoise RAM;Automotive Wyoming;Soft
2;27791;Rustic Clothing up;portals Coves California;transmitting;responsive;Handcrafted Profound;Steel;Designer Liaison;Customer;transmit SSL;Versatile Curve
3;44119;Lead Money;generating Guinea-Bissau;Computers;upward-trending Robust;integrated;maroon;Sleek compressing executive;radical;Electronics;Wooden XML Producer
4;84294;Tennessee;firewall cyan Dollar;mobile Factors;e-business Turnpike Handmade;Beauty Usability;Savings;harness synthesizing;paradigm Practical transmitting;azure Grass-roots Grocery;Indonesia Pants out-of-the-box
5;49536;Carolina Profit-focused;dedicated mobile;haptic firewall Africa;productize;XSS e-business;Electronics bypassing;Maine;services;strategize sexy;New Rubber Automotive
6;60882;Georgia yellow withdrawal;implementation Avon e-markets;Berkshire;cross-platform;Consultant whiteboard;port Avon red;integrated overriding Plastic;Tuvalu invoice;deposit Rustic;architect project
7;64977;disintermediate;strategize;programming Coordinator Books;program;Account;Producer;bus User-friendly;Investor Sleek extensible;hardware;alarm
8;10662;Sports Profit-focused;Generic Hryvnia;invoice copying protocol;Landing;Home;Ferry;Lead;Finland maximized hierarchy;Chicken;copy
9;35982;wireless seize;Refined;Regional Michigan interface;target;payment B2C;forecast deposit;payment primary Versatile;payment;customized reintermediate Fresh;customer web
10;52374;Cambridgeshire Berkshire Enterprise-wide;Communications Wooden;Manager;Account exuding;Security Fantastic Operations;Ball magenta;Bangladesh Money;hybrid;forecast Loan;iterate generating
