id;ma_thiet_bi;loai_thiet_bi;hang_tms;thong_so;mo_ta;trang_thai;phan_loai
1;Jewelery framework;JSON withdrawal SCSI;68238;Burkina Grocery quantifying;haptic Grocery benchmark;deposit Solutions Minnesota;coherent
2;technologies Consultant Car;streamline bluetooth Product;78652;service-desk;Norway mission-critical Awesome;functionalities;Gloves AGP
3;intermediate primary calculating;plum Right-sized Square;24838;Grocery;innovative;firewall;archive
4;optical Washington;parsing;76455;exploit generating cultivate;Engineer Alaska;Books Wisconsin systems;killer payment
5;Cambridgeshire Refined;Small Bedfordshire transition;67176;Ergonomic Sports Shirt;Multi-channelled Computers;calculate superstructure;encompassing Customer bypass
6;grey Rand;Sausages Plastic Small;16786;Missouri Dynamic Oklahoma;Leone Secured;stable Music invoice;withdrawal Legacy
7;Pass 1080p;Toys;94052;RSS pixel Ball;Loan Credit;Market silver;Web
8;Synergistic payment;Progressive EXE;95893;applications withdrawal applications;HDD Dollar Directives;Delaware Ergonomic redundant;matrices Inverse
9;bandwidth Rustic Dynamic;Creative optical;54934;invoice Refined Buckinghamshire;Plains;Arkansas;Shoes interfaces
10;collaborative Movies;24/7;618;Centers Frozen Brooks;Dynamic;Total;District Loan
