id;tp_nk;rank;mfg;quantity_per_box;note;num_box_per_pallet;branch;group_name;customer_name;po_number;date_code;item_no_sku;qdsx_no;production_date;inspector_name;inspection_result;updated_at;updated_by
1;vibration;accentuate downchange;but;14813;rosin whoever hence;2906;short-term up;jubilantly;digital;gastropod window reluctantly;granny utt;barring;uselessly kiddingly woot;2025-11-24;gadzooks wherever;violent mockingly twin;2025-11-23T15:45:53;confide salty
2;brace hence;barring including dampen;greatly;28112;following;30671;besides searchingly blah;once;till;bulky fisherman guzzle;minus incl;scar issue rule;incidentally;2025-11-23;chunter repeatedly;moment before;2025-11-23T23:16:15;fibre
3;especially;bravely;rewrite;3337;given extra-large sham;7731;staid whose;equally;gracefully like;casket yippee hm;far weary ;nautical acidly unlike;inculcate hungry exhaust;2025-11-23;censor;colon;2025-11-24T03:31:20;zowie
4;yahoo aside;reboot considering overvalue;aboard;7002;properly;25683;menacing geez;procrastinate energetic;besides aside wide-eyed;as concerning;fearless;tromp;consequently;2025-11-23;upward politely drat;defenseless greatly;2025-11-23T09:21:29;season fiercely weight
5;favorite;describe;ah excellent;26095;huzzah bowler;2734;cavernous;heighten wafer lumpy;how but;warped gadzooks avalanche;except;trash times;sustenance savour;2025-11-23;per farmer thankfully;separately ouch reproachfully;2025-11-23T16:42:54;gratefully strong defiantly
6;square;unless;wherever cultivated;1368;officially powerfully;17385;now worth;pish noon;stealthily;spattering sniveling;gosh despi;inasmuch;stock;2025-11-23;greatly;decisive who because;2025-11-23T14:58:39;waterlogged
7;times;round premeditation gee;bashfully solemnly psst;29256;innovate fairly;16778;equate;reasonable remark expensive;pricey where;fat untimely aw;repeatedly;reproachfully anenst;against;2025-11-23;how if in;without ew kooky;2025-11-23T07:02:46;yuck
8;openly grandson furthermore;amongst;versus provided even;24251;or anti;31755;from zowie daintily;guard while whether;fence;hm talkative;excepting ;absent quietly;importance;2025-11-23;factorise valiantly;fondly yahoo pace;2025-11-24T01:28:24;bah covenant eggplant
9;yippee frozen and;shrilly until sedately;despite;8175;ugh some but;24720;pro supportive ownership;gah;recompense definite on;safe;content;gadzooks oof;demob redact;2025-11-23;though minus drat;burly beloved who;2025-11-23T18:10:40;rosemary
10;distinction nervously;where;desecrate;17714;now;873;swelter;toothbrush;inventory while everlasting;quinoa frankly and;throbbing ;freezing warped like;majestically;2025-11-23;why shakily;excepting;2025-11-23T20:27:55;knavishly pfft atrium
