id;ma_thong_so;ten_thong_so;mo_ta;ngay_tao;ngay_update;update_by;status
1;Shirt FTP Account;disintermediate;Fish Fresh;2023-10-16T07:31:36;2023-10-16T11:24:53;Pants;intermediate
2;Shirt Director tan;Kip Berkshire turquoise;Refined;2023-10-16T16:40:47;2023-10-16T18:14:56;Product Buckinghamshire Functionality;Lats yellow
3;algorithm matrix;deposit connect withdrawal;Jewelery;2023-10-16T22:32:46;2023-10-17T01:40:49;Assistant bluetooth up;SQL circuit
4;incremental quantifying end-to-end;Mobility Tuvalu;Practical Dynamic;2023-10-17T02:59:14;2023-10-16T08:40:38;deposit;engage deposit Ethiopian
5;auxiliary THX;Buckinghamshire;Massachusetts Buckinghamshire;2023-10-16T21:54:34;2023-10-16T12:32:22;collaboration robust;program functionalities
6;blue;Tactics;Architect multi-byte Quality;2023-10-16T12:10:06;2023-10-16T05:15:39;next-generation Rubber;Sausages
7;transmitting;partnerships back-end Sharable;methodologies;2023-10-17T02:06:57;2023-10-16T20:01:38;Via up Qatari;navigating violet Rubber
8;multi-byte Avon;Fantastic;Handmade feed SDD;2023-10-16T14:38:54;2023-10-16T05:51:25;bus recontextualize;National
9;system even-keeled Assurance;secondary;Concrete panel markets;2023-10-16T04:25:26;2023-10-16T08:28:02;Direct deposit invoice;Bedfordshire Lakes Granite
10;bandwidth;Legacy deposit Account;Aruban protocol generation;2023-10-16T09:48:29;2023-10-16T07:27:06;Bedfordshire state frame;Fish Dynamic Wooden
