id;ma_kich_ban;ma_thiet_bi;loai_thiet_bi;day_chuyen;ma_san_pham;version_san_pham;ngay_tao;time_update;update_by;trang_thai
1;concept AGP Mountains;real-time Summit Spring;vortals transmitting;Squares Analyst foreground;Licensed;ubiquitous;2023-10-16T20:08:39;2023-10-16T12:52:49;Montana;Cambridgeshire well-modulated Hawaii
2;Litas Pennsylvania;Shoes transmit;parse Clothing;secondary Planner;reinvent radical synthesizing;Self-enabling Account;2023-10-16T22:02:13;2023-10-16T21:43:30;Chair implementation FTP;Falls
3;Analyst tan blue;Trail;purple Dynamic core;Electronics magnetic Configuration;Analyst Account implementation;array Missouri intranet;2023-10-16T08:26:40;2023-10-16T17:50:02;parsing challenge;Automotive Gloves Dynamic
4;Assurance;Optimization withdrawal firewall;Games Turnpike;Isle Industrial;Loan;Security Towels white;2023-10-16T14:32:36;2023-10-16T22:14:49;Awesome;Zloty
5;Centers Integrated;Georgia;ROI Cambridgeshire Account;optical connecting;synergistic recontextualize Ecuador;cross-platform Division;2023-10-17T03:45:49;2023-10-16T05:01:21;circuit GB;Regional
6;Fresh;Wooden Ball Vermont;circuit Algerian;Wooden needs-based intangible;Rustic Bedfordshire driver;ADP neural Branding;2023-10-16T06:06:50;2023-10-16T15:14:23;dedicated Administrator Car;Fantastic bus global
7;Supervisor index SSL;impactful;Hryvnia Generic yellow;Buckinghamshire Games Illinois;connect;Computers Bangladesh;2023-10-16T16:17:48;2023-10-16T16:11:27;Pizza Accountability Soft;Croatian
8;Granite Incredible Accounts;withdrawal Soft;bluetooth Hat;Configuration Legacy;user-centric indexing tangible;Product bus;2023-10-16T11:35:56;2023-10-16T21:22:36;Bedfordshire;index
9;program Buckinghamshire Profound;state scalable;Park Handcrafted Shirt;Dollar;optical one-to-one Mississippi;Peso;2023-10-17T03:24:41;2023-10-16T12:10:08;capacitor Bacon;revolutionize calculate solutions
10;Savings e-commerce;Industrial;open-source;deposit;JBOD;digital solution;2023-10-17T00:50:32;2023-10-17T01:03:51;GB;Mexico
