id;ma_kich_ban;hang_mkb;thong_so;min_value;max_value;trungbinh;don_vi;phan_loai
1;Account;44919;intranet olive Brazil;47696;26907;77943;Mount compelling Directives;Kids
2;Auto Open-source;14625;parsing;48453;75377;93843;Cross-group up parsing;Square
3;Dakota;14600;contingency;90914;87306;63760;program International;auxiliary
4;Prairie bus Savings;1935;compressing interface;86452;82624;7593;navigate;synthesizing Shoes systematic
5;Account frictionless;44725;visualize interface Belarus;63814;88138;29593;framework;Buckinghamshire Fords
6;cyan Plastic;80054;visualize International infrastructures;1984;20512;61700;Cyprus;Clothing reciprocal
7;Account Rustic;59318;card Ball hacking;43938;37290;93830;IB Grass-roots time-frame;Gorgeous holistic back-end
8;Fish Taka;72427;Cotton calculate;24564;45185;87904;withdrawal black;1080p integrate
9;Kroon Computer;9832;ability Avon;85472;52522;95495;connect Sleek capacity;Savings Somali bandwidth
10;JSON Director;93652;matrix;72673;36964;86404;Re-engineered Silver;Palestinian
