id;reel_id;part_number;vendor;lot;user_data_1;user_data_2;user_data_3;user_data_4;user_data_5;initial_quantity;msd_level;msd_initial_floor_time;msd_bag_seal_date;market_usage;quantity_override;shelf_time;sp_material_name;warning_limit;maximum_limit;comments;warmup_time;storage_unit;sub_storage_unit;location_override;expiration_date;manufacturing_date;part_class;sap_code;trang_thai;checked
1;88378;Steel Avon;help-desk;content Metal;Practical primary transmitter;Loan Tennessee Mountains;Programmable;49476;52266;51380;Licensed Rustic;Robust ubiquitous Legacy;Connecticut;Dakota salmon Avon;45354;Borders Dam;Cotton;bus Plastic copying;Senior convergence;matrix;2023-10-16T15:48:48;matrix Small;value-added Representative;Mexico;Facilitator Granite Bedfordshire;Account Reunion system;Advanced;21702;Lead Bridge turquoise;73245
2;1257;wireless Dynamic repurpose;Awesome;haptic;white redundant;Human Chicken;hack;62152;47524;7370;bricks-and-clicks Metal Sol;Computer disintermediate;Markets input;Sharable;52245;Stream firewall granular;Louisiana Iowa;state;Forward Pizza;sky;2023-10-16T16:54:22;hard Developer;mesh Prairie;San;SQL application;Practical;best-of-breed Pataca;83312;throughput rich;33337
3;51052;Cheese Rustic Buckinghamshire;gold Account;mobile;Director;transmitter;value-added;8542;67023;19097;XSS Personal Berkshire;reciprocal;Technician Port Marketing;customized;42622;Fresh Incredible;Michigan User-friendly;Engineer Soft copying;Wyoming Alabama Organized;withdrawal reboot;2023-10-16T22:47:18;foreground virtual;dedicated;Jewelery orchid Louisiana;Cambridgeshire;facilitate;Virginia Group;79621;Senior;90426
4;43486;Metal;Streets District Iceland;platforms applications;bypass Small;override;implement Jewelery capacitor;54672;33023;34061;bluetooth Electronics bluetooth;parse;Avon Gorgeous;workforce primary engage;79197;panel multi-byte;Clothing AGP Legacy;Namibia Home;monetize Rustic Home;productize;2023-10-17T02:42:02;Bedfordshire Officer Upgradable;Customer Computer COM;e-tailers Bacon red;frictionless Versatile;initiatives;interface up purple;55822;Soft Industrial synergy;76309
5;94004;scalable administration Fresh;sexy grow Legacy;utilize;Gorgeous;program Internal;Cross-platform;72829;70663;16061;Sausages Investment standardization;back-end SAS;ADP Accountability;Bedfordshire GB;89133;Gorgeous;Identity;uniform program;Morocco;multi-byte proactive Kids;2023-10-16T12:02:44;Dale transparent Front-line;Rustic Nebraska;Dynamic Hat Operative;Massachusetts lime;magenta;Islands;82670;knowledge;6633
6;50363;Concrete Direct;cross-platform red withdrawal;Investment extend;Steel;Configuration lavender Baby;synergistic;83422;57807;97411;azure Music;FTP Throughway Dobra;Cotton Account;value-added;99261;Sleek Corporate;state mobile;primary magenta Ergonomic;initiatives copying grey;Steel Bedfordshire Buckinghamshire;2023-10-16T07:24:30;South customer e-commerce;calculating online Borders;Lempira;alarm programming Division;indigo Designer;Markets reintermediate silver;78666;XSS Centers;25969
7;54402;Money;web-readiness;dynamic Spur Isle;Intelligent Massachusetts Berkshire;Account Principal;Savings array olive;74618;9943;74910;Account Generic Rubber;virtual loyalty;Health;Keyboard Mouse;16019;Berkshire Senior;Kwanza;orange;Nebraska;magnetic Tuna;2023-10-16T13:04:51;Granite index Cotton;Practical Table Ohio;Chips Avon;PCI Small;Euro Awesome;Principal Jamaica;43540;open-source scale tolerance;23302
8;8111;Turnpike;Hampshire;auxiliary;Iowa transmit;Granite;revolutionize;78477;65557;25239;management;deposit Malta Refined;optical withdrawal port;California;71232;application teal asynchronous;Engineer overriding;hard;algorithm dynamic Roads;Garden;2023-10-16T20:28:51;time-frame Georgia framework;Legacy;system Rustic;Consultant Specialist program;Quality-focused Garden;niches bricks-and-clicks mobile;52004;compressing;73093
9;96707;monetize;Engineer withdrawal;mindshare Tunisian directional;eyeballs;New Managed Cambridgeshire;purple transmitter SDD;2933;93718;17879;Florida Checking communities;Electronics Buckinghamshire;multimedia;plug-and-play;81937;convergence Land;24;embrace;Account Rubber Computer;Public-key optimize;2023-10-16T06:55:28;Mauritius collaborative payment;up;Wooden didactic;Compatible payment;ivory cutting-edge Bedfordshire;Buckinghamshire Bacon Cotton;43418;mobile Books;63868
10;3587;pixel;Shoes Refined;Card sensor;composite;success Buckinghamshire;Unbranded;55884;77854;12895;Loan index;Dinar deposit;SAS Gloves;Sleek Consultant;97767;monitor;auxiliary applications Nigeria;bifurcated invoice;Switzerland;Senior neural;2023-10-16T06:41:27;Checking systems;Dynamic Open-source 24/7;Analyst mint;wireless Director;Fields Investor Concrete;magenta;33957;Balanced methodical robust;45987
