id;ma_lenh_san_xuat;sap_code;sap_name;work_order_code;version;storage_code;total_quantity;create_by;entry_time;trang_thai;comment;time_update;group_name;comment_2;approver_by;branch;product_type;deleted_at;deleted_by
1;over;as an;along upon maroon;whenever;enrage spotless;which;24389;rout quinoa;2025-11-23T15:27:05;hungrily yuck extremely;tough;2025-11-24T04:45:58;inveigle;up;favorite;design although;quietly;2025-11-23T15:44:34;aboard instead moist
2;unbearably gape;split nearly inside;yuppify;shy eek;ew restfully liberalize;sleepily hence amongst;20929;ah speedily;2025-11-23T18:47:50;prestigious;funny enchanting mmm;2025-11-24T03:27:32;normal ack;productive dreamily;tomorrow;till inasmuch furthermore;whoa forenenst;2025-11-23T23:32:46;decisive caption sizzle
3;gullible lanky;ha deadly;yum midst before;cruelly;pish forenenst;entice inscribe extroverted;12941;yippee meanwhile ew;2025-11-23T07:00:02;fooey proselytise;yippee favorable over;2025-11-23T11:01:11;hence;graceful;flawless consequently warp;uneven atop wrongly;exaggerate;2025-11-24T00:29:08;including indeed challenge
4;oxidize;firsthand boo optimistically;ecliptic insidious inwardly;measly provided;bend hateful;uh-huh;16622;ferret dull gladly;2025-11-24T03:34:56;duh lest;phooey;2025-11-24T03:16:07;trick who besides;oh yuck;persecute;aside wriggler buck;punctually;2025-11-23T09:42:28;sailor to
5;design tennis as;bidet;boastfully toward with;toward absent;until;unwilling how;22386;ick rival;2025-11-23T17:53:25;pear naturally following;along gullible than;2025-11-24T04:41:23;but psst;devise forenenst;reprimand planula;premeditation what;joyously restructure;2025-11-24T03:33:20;quixotic
6;scoop while wherever;trench;huzzah qua;scoop rarely;worth when;handful;22140;supposing quintuple;2025-11-23T12:34:56;pulp negligible sans;lest;2025-11-24T04:34:58;excepting;strait woot;since;toward hard-to-find;trench after;2025-11-24T00:53:31;anti because
7;ick;worth;provided;angrily yuck metabolise;wetly because oh;brisk sensitize profuse;11220;deserted quaver disposer;2025-11-24T02:41:22;since;fatherly scruple gosh;2025-11-23T15:43:08;yahoo nor;between;marketplace lava warm;unless indeed duh;unique split;2025-11-23T08:13:11;hubris
8;sleepily oof shoot;extremely aged out;pfft;magnificent instead;wide-eyed fat;clone fiercely;8777;label frenetically;2025-11-23T07:54:13;recede;for ugh lovingly;2025-11-23T06:50:47;boastfully informati;mid cantaloupe;requite republican versus;restructure;gah if different;2025-11-23T15:20:43;bah whether inasmuch
9;homeschool questioningly;impassioned meh boo;neglect request;rise instead contradict;inwardly;minus a voluntarily;26561;neatly huzzah;2025-11-23T23:18:48;wrongly tensely incidentally;nor unnecessarily quaver;2025-11-23T06:38:54;minus mortally unbea;vista;lowball where;failing;ugh mozzarella lest;2025-11-23T23:27:17;since yuck leading
10;with sense;beyond brr maestro;haze represent triangular;an though;furthermore fooey;almost and evince;26711;gleefully in who;2025-11-23T12:55:02;zowie;draft vanadyl;2025-11-24T02:43:34;round less;along;madly versus mmm;advancement any unnaturally;frankly notwithstanding;2025-11-24T03:27:29;majestically considering concerning
