id;ma_thiet_bi;loai_thiet_bi;day_chuyen;ngay_tao;time_update;update_by;trang_thai
1;Intranet relationships Savings;Accountability extend Small;Dynamic connecting didactic;2023-10-16T11:57:13;2023-10-16T21:30:08;workforce;Frozen reintermediate
2;payment Accounts;Ohio;applications Handcrafted application;2023-10-16T04:06:41;2023-10-16T14:43:25;Buckinghamshire capacity;Liaison back
3;Supervisor;payment Pizza;Awesome;2023-10-16T22:45:00;2023-10-16T11:08:26;Station;Account Jordanian Green
4;Shores;brand Palladium copying;utilisation Small application;2023-10-16T22:56:59;2023-10-16T04:54:49;synthesizing;mesh black distributed
5;compress;area;Liechtenstein generating;2023-10-16T19:59:37;2023-10-16T14:57:10;Monaco sensor Toys;Small virtual
6;testing;redundant Awesome;Rial;2023-10-16T08:03:16;2023-10-17T02:33:11;syndicate Profit-focused;Koruna Borders lime
7;Greenland;Gourde;navigate Shores quantifying;2023-10-16T22:11:38;2023-10-16T19:11:26;Bacon;feed
8;encryption Customer visualize;Salad bandwidth;Zimbabwe Fundamental Car;2023-10-16T08:07:48;2023-10-16T10:26:57;York open-source Zimbabwe;infrastructure Account Interface
9;XSS Computers Rustic;Account;distributed Avon;2023-10-16T21:09:10;2023-10-16T19:51:25;Coordinator California;Awesome
10;driver Brand;Producer View National;Flats COM;2023-10-16T07:56:43;2023-10-16T23:30:22;Strategist parallelism Chips;Avon Colorado
