id;card_code;card_type;card_name;card_f_name;group_code;currency;lic_trad_num;ddd_id;e_mail
1;powerfully irk;waterspout instructor inventory;phew zowie;unbalance unnaturally;account separately;huzzah milestone even;inscribe;fooey after;deny qualified starch
2;shovel frankly;ack;uh-huh;zowie hastily;tectonics;outlaw;backbone;round;trustworthy row
3;meanwhile tedious;degrease except other;exploration;slime strictly;tired;alongside kookily gadzooks;favorite;ugh lest;dispense
4;apropos;heavenly happily knickers;how delightfully internal;incidentally;narrowcast reproach;oof;throughout ah gah;mmm legend;commemorate once upset
5;apropos who ouch;boo elderly whoa;briefly teeming crossly;courageously majestically;gah;bravely of;memorise on upbeat;jury mmm in;forceful
6;duh hole handy;excitable outrageous;drat zowie necessary;shyly disloyal yahoo;gorgeous about curl;times design;well soon or;manipulate neatly;elderly
7;fooey;emerge reconsideration dishonor;excepting regarding bestride;amid lift into;judgementally knottily;ha accentuate yowza;fluff ouch;given loosely;gnaw
8;ordinary;huzzah;suitcase jam-packed congregate;fax;closed fooey;eyeglasses meh huff;phew pike gently;drat;yowza submissive camouflage
9;conclude woot whose;geez despite;usually dusk;naturally pearl;till provided;whoa;so fortunately outbid;unfurl with powerless;import fold inasmuch
10;especially;crossly orchid;kindheartedly;reward;ugh;within;confirm brightly;gee;jogging furthermore
