id;opor_branch;opor_canceled;opor_card_code;opor_card_name;opor_comments;opor_create_date;opor_department;opor_doc_date;opor_doc_due_date;opor_doc_entry;opor_doc_num;opor_doc_status;opor_invnt_sttus;opor_jrnl_memo;opor_u_co_add;opor_u_code_inv;opor_u_code_serial;opor_u_contract_date;opor_u_declare_pd;opor_u_doc_num;opor_u_inv_code;opor_u_inv_code_2;opor_u_inv_serial;opor_u_pur_nv_giao;opor_update_date;opor_user_sign;opor_tax_date;opor_cntct_code;opor_num_at_card;opor_slp_code;opor_owner_code;opor_vat_sum;opor_doc_total;opor_vat_sum_sy;opor_u_ht;opor_u_payment;por_1_base_doc_num;por_1_base_entry;por_1_base_line;por_1_base_ref;por_1_currency;por_1_disc_prcnt;po_doc_entry;por_1_dscription;por_1_item_code;por_1_line_num;por_1_line_status;por_1_line_vendor;por_1_open_sum_sys;por_1_price;por_1_quantity;por_1_ship_date;por_1_total_frgn;por_1_total_sumsy;por_1_trget_entry;por_1_u_mcode;por_1_u_so;por_1_u_tenkythuat;por_1_unit_msr;por_1_uom_code;por_1_vat_group;por_1_line_total;por_1_vat_prcnt;por_1_price_af_vat;por_1_whs_code;pr_map_po
1;coin aha gah;sin uniform;rarely ugh readjust;coaxingly including meh;meanwhile;2026-03-18T09:30:49;given;2026-03-18T00:44:05;2026-03-17T17:40:00;bah next;tough quiet;rim;far jump;carefully aboard gifted;whimsical through unfortunately;daintily angrily;pendant writ;er;troubled;wordy;whereas though;frugal uh-huh pace;collaborate colorless;furthermore from;2026-03-18T07:47:15;ouch whoever;2026-03-17T22:35:57;22430;jealous once;5353;11480;20510.66;5742.22;19606.99;worth summer;instead past;gulp instead gratefully;huzzah;innocently limply precious;through;if;wilderness upwardly;reprimand venom;verify;bracelet;brr;upward;unlucky prudent assail;even knowledgeably rotten;apropos incidentally;gadzooks mysteriously muddy;2026-03-18T06:24:06;oof meh;gee;deceivingly wherever yippee;anenst sleepily;hopeful;rule dearest;gah;that sternly upright;astride;29502.56;30032.17;6873.35;deliberately quiet reservation;better cleverly
2;burgeon bolster willfully;ick;via unless individual;obligation until;catch;2026-03-17T18:02:52;needily;2026-03-18T15:33:02;2026-03-17T17:02:31;frequent scarper;er peppery french;while deflate;apologise near;weatherize overconfidently cinema;annual;unlucky;inasmuch overdub babyish;optimistically how knife;and crackle;famously uh-huh;along terrorise;limping stump after;wrathful who lively;aboard;2026-03-18T12:03:02;yippee but;2026-03-18T06:50:19;11176;wherever;21955;20043;19819.82;4673.65;28980.73;emergent;astride fast;meh loosely;darling phooey mid;alongside extra-large;gleefully;via gee cheerfully;till huzzah;circa ugh that;enthusiastically;beside innocent airman;inside commonly;until emerge;uh-huh phew;intensely thread;cassava zowie knottily;normal;2026-03-18T09:03:30;mom yearly silently;pfft arid violently;good-natured;drat round confute;drat hm always;lest interestingly zowie;provided;out overcook;complete supposing;17540.29;23718.03;30518.73;derby;straight blah
3;softly reprimand ack;newsletter;merge masticate sympathetically;noisily;representation;2026-03-17T20:14:36;oof whistle lonely;2026-03-18T11:17:51;2026-03-18T13:27:46;whenever;carp heating;inside;weighty;which;per notwithstanding meh;hmph partially zowie;observe save;sheepishly merit;towards ownership;across near;but;scented since corrupt;um;whether;2026-03-18T13:56:04;wiggly;2026-03-18T04:33:09;29952;after;25616;3362;14092.62;15151.99;5790.95;exaggerate failing firsthand;whenever corner;around apud;optimistically airline except;for;wide-eyed intently;tomorrow helplessly messy;joyous tomb;lid father;lest;eek worth clone;mysteriously slimy saturate;until bracelet;secret mid;pulverize produce bah;reprimand trench;which understated throughout;2026-03-17T19:30:47;unfortunately veg;across at acidly;information scientific;ghost er;how draw yuck;off tinted;insolence;chime;absentmindedly;15149.58;30957.51;18299.08;not gadzooks;upbeat
4;phooey;noon readily;mechanically whoever inhibit;supposing feminize conversation;cheap;2026-03-18T12:18:13;thick;2026-03-18T01:20:34;2026-03-17T18:45:43;why ew once;approximate;recent ugh lest;meatloaf unto pace;lack;compromise supposing;even congregate ah;if arraign gracefully;politely athwart easy;unto jive striking;anti fooey;supposing;barracks;husky;efface athwart;2026-03-18T14:36:05;opposite drat;2026-03-18T07:07:25;21556;verbally;2416;27711;1240.11;180.51;15598.78;twin serpentine reproach;drat mmm;boastfully if coolly;each behind even;sense under without;provided;since;pro before;rewrite;inquisitively qualified definite;badly blah;abaft aggravating guilty;cinder;drat shadowy pink;which yowza whereas;permafrost excluding likewise;jaggedly liquid onto;2026-03-18T03:19:57;huzzah;knowingly overproduce daintily;excellent amongst;er;smuggle passport yet;drain regularly private;lift;alongside;whoever;4849.13;1326.95;24944.53;soup thigh brr;lampoon
5;yahoo;doubter toward whether;scaly pretty er;aha why through;energetically inventory plus;2026-03-18T15:27:20;equal into;2026-03-18T07:35:27;2026-03-17T23:58:06;playfully yuck functional;begonia;before;when round;elegantly unlawful;past;hence terrorise;transcend orchestrate fearless;whenever;whoa that;why deplore;beside electric;unwieldy owlishly where;doubter fairly lasting;psst giving nor;2026-03-17T23:39:11;around quintuple;2026-03-17T19:59:38;28542;outgoing yet until;13728;27374;18978.6;3940.21;907.43;meanwhile;wide-eyed;why;fictionalize;which nor;creak;difficult;conceptualize;stormy worriedly;instead if ah;briefly providence;morning failing;across impossible;unique;polyester;sunbeam whoever lest;sticky;2026-03-17T21:59:37;wherever kissingly downshift;pfft;truthfully;concerning;typify;wiggly phew mmm;that;founder;nor bide sarcastic;16224.84;31025.69;22571.38;tall kooky woefully;gladly seagull so
6;truly cross plump;soon psst commonly;inside important concerned;litter between;triangular;2026-03-18T03:51:14;extremely thoroughly tomography;2026-03-17T18:34:55;2026-03-18T05:23:47;weary readmit as;flint;flight kinase as;fishery;or;including ick ack;yet spook depot;annually lady;stale a;geez squirm;cleaner declaration;mobility sightseeing;aching monasticism;after defenseless;urban whether regarding;2026-03-17T22:13:54;slight nerve;2026-03-18T13:54:33;26982;guest annually brightly;27937;17205;11411.31;32694.86;18559.21;which wholly abacus;lest optimistically;into;slap industrialize bliss;brightly aboard;personalise minus;soup geez;um;aha chromakey;saloon noxious;colligate while after;spear testing;hepatitis;wrongly joyous;phooey carefully unlike;asset phew near;what;2026-03-18T04:01:52;well in;awkwardly plus;chase;polished where golden;agile;furiously brr warming;metabolise kissingly vice;diligently;laughter dish;10524.04;21582.24;22036.76;supposing;hence
7;save colorize;pacemaker;jealously;harvest extremely mathematics;terribly stiffen phooey;2026-03-17T18:23:59;yak;2026-03-18T12:23:01;2026-03-17T18:57:55;huzzah deeply safe;embody;sandy following provided;strictly solemnly;boohoo;failing since knight;neaten mmm scientific;noted indeed;um;huzzah rapidly;puny geez ceramics;honestly aha uh-huh;on;tight;sonata whenever;2026-03-18T00:38:04;dimly wrathful vamoose;2026-03-17T19:49:50;15572;outlaw;16516;546;25777.92;18061.45;16474.24;unwelcome behold hungry;the;whose for;complication approach very;suburban;upliftingly;shanghai yippee;onto oof though;overplay pearl;bungalow outnumber tankful;dishearten lazily;at;utter rekindle investigate;ack near likely;ew gah;fax;wetly gah;2026-03-18T15:13:34;boo punctuation boldly;up;urgently acclaimed taut;pant;instructive;phew before during;positively;till;wound unfortunately that;26709.79;9259.45;27621.48;scientific gee;executor nor psst
8;atop tune;through gracefully;lucky;greatly observe;familiar swanling than;2026-03-18T15:23:02;since quixotic coin;2026-03-18T05:57:04;2026-03-18T10:02:12;however whether restfully;oh notwithstanding popularity;sheathe;oh;unethically mystify er;murky;indeed whereas;turbulent ideal;rich yahoo;mixed;silk;amend definite keenly;concerning;brush whether long;distorted meanwhile;2026-03-17T18:00:55;where;2026-03-18T03:10:55;13622;obscure excepting hateful;11955;16169;22226.01;28161.47;25971.59;internal innocent;fall;terribly per especially;devise urban;habit broadcast mean;every on frequent;eek;complicated;less hollow;boohoo;ugh mathematics;eek before;infamous far-off times;briefly kindheartedly;vivid lest yieldingly;last backburn;brr;2026-03-18T02:41:22;impeccable phooey teriyaki;above;verbally;dependable;fiddle venom;section beneath;boom huzzah kiddingly;where;athwart stiff;28229.56;18699.57;8669.61;waterlogged supposing as;eyeglasses
9;dampen snack total;abaft after gee;connect;monthly pearl boo;uproot hm ew;2026-03-18T07:45:00;though convoke;2026-03-18T15:49:42;2026-03-17T18:23:51;hunt;even;sour;miserably;seemingly;heartbeat er debut;gee meaty vain;language unimpressively hence;verve;chilly;possession consequently superior;although;punctually contradict outside;urgently;who though linseed;2026-03-18T04:48:39;ocelot zany;2026-03-18T14:48:23;12581;aw thankfully huzzah;26165;15673;3008.21;9465.56;13283.9;fragrant ack march;phooey numeracy qua;but steeple;however around;wholly inasmuch experienced;and wisecrack beyond;atomize;but negligible disgorge;hence;yearly accept;thoroughly;canter dead formation;duh next;plagiarise;afraid recount nimble;inasmuch on after;healthily hence mid;2026-03-18T04:51:19;liquid enrage;brr;relieve boo between;effector astride;valentine patiently between;pace pure yahoo;fiercely large ah;sympathetically er boo;diligent bravely glimmer;17033.97;21579.27;14600.76;toward woefully;geez separate cardboard
10;worth;abscond darling cassava;thoroughly;stake sequester;upon;2026-03-18T12:14:18;although slight;2026-03-17T17:01:45;2026-03-17T21:14:35;abaft;defrag wobbly;offset aboard storyboard;apropos meanwhile ack;per gosh warmly;at transcend surface;plump meaningfully;deflate;shadowy;ecstatic;ethyl amongst mechanically;unearth;noisily pro huzzah;dowse until;atop brook;2026-03-17T19:29:05;glorious athwart;2026-03-18T02:09:15;1367;until absent;21713;11608;8103.4;13458.54;2317.39;bony;function;abseil ack;zowie;our gee;putrefy;uncork;acceptable disrespect anti;oblong pace cautiously;meanwhile;speedy shell apud;in-joke;yet;function since;boastfully;underneath meanwhile puny;fail less;2026-03-18T09:40:43;hm;economise chiffonier;even super;as mature;evenly;valley;amid shrilly;midst to or;past chairperson supposing;16667.64;28418.75;19217.72;failing cloudy;potentially
