id;reel_id;part_number;vendor;lot;user_data_1;user_data_2;user_data_3;user_data_4;user_data_5;initial_quantity;msd_level;msd_initial_floor_time;msd_bag_seal_date;market_usage;quantity_override;shelf_time;sp_material_name;warning_limit;maximum_limit;comments;warmup_time;storage_unit;sub_storage_unit;location_override;expiration_date;manufacturing_date;part_class;sap_code;lenh_san_xuat_id;trang_thai;checked
1;spirit immediately below;bungalow pilot;knowledgeably knight;quarrel;whoever above joyful;cappelletti yesterday intelligent;elderly;expert;while wherever up;2158;wholly;from;outgoing babushka ch;until;17382;mysterious so oof;when yuck;quinoa founder ribbo;where;gee superficial;plumber institute sc;grim embed definite;quietly;electric now contrac;cinder hm;woot yippee;pertain over uh-huh;minus;1260;uh-huh sunbathe underneath;14953
2;once mean spork;major;yuck;questionable conside;drug crooked operati;who euphonium colorfully;overdue aw except;aged customise stabl;bleak outside cantal;9144;yet;bakeware righteously;hungrily for;charlatan gladly;15444;sunder whoa;during cheerful inte;blah um yum;brr completion;sympathetically;mmm;outrageous;gee hippodrome why;derby;woot;daughter gape;embalm after finally;hoick;18981;alligator;19847
3;rationalize;as service after;depend;strident parade;travel gratefully wh;grouchy anxiously;subtle redevelop pocket-watch;rebuke willfully qui;ha grown next;22151;remorseful since;alarmed;ha;an;19180;passport yowza reboo;pish disappointment;augment pointless no;avalanche but;er bob ambitious;carelessly;unto compete;pro yowza;scoff ick hastily;whoever as downshift;gleefully;intensely splendid;geez reboot;446;intently handful gee;1285
4;pretend;utter middle;barring carelessly;psst gracefully runn;cork;warm fat spherical;spiffy finally;boldly rapidly lest;linseed minus hence;6770;supposing;over yippee;evenly calculus;yearningly far provi;11976;however willfully;ugh;shakily including;scratch;bah;alliance noted since;why incidentally;before urgently obli;blindly;colorfully brush;at needy questionabl;daintily;oof sugary;12999;hospitable fooey lobster;20972
5;muted doubtfully motionless;oh;drat once ambitious;closely lightly jogg;live abaft;impartial till;case as meh;even;gee uh-huh;30648;hospitable before;afterwards unique;other yippee;woot lively zowie;25006;mom instead pointed;instead bend;alert packaging smug;pace and;mystify surprisingly mmm;remark which;frankly;below but less;blah oof;well-groomed minus w;atop;yahoo now upwardly;simple of gosh;29509;far-off vice swim;16995
6;crocodile behind intervention;rudely ew coordination;unnecessarily apropo;gripper aged;react angle immediat;whenever sunny considering;sour solemnly;likely an;chunter sometimes;19333;functional correctly;beyond ouch afore;uh-huh;pleasure;28569;although membership;represent untimely b;since;eventually;disadvantage hornet;ha loosely;with role;whose lovely;per like given;accountability but t;considering wise but;deserted;stupendous now;22587;emphasise from table;7512
7;bleach approximate;bar phrase;ragged fedora;er than;outside that spring;before;unabashedly gosh because;between exalt;pop surface;12267;jaywalk given;pro;schlep;chromakey;2860;narrow shrill midst;specific cleverly un;license notwithstand;slope until;so like nor;despite govern;tinderbox navigate y;abaft once likely;train larva;gadzooks because whe;ouch miscalculate ex;oh;lean eventually till;4831;whereas forenenst;17138
8;basic whereas;against yowza;cruel disconnection;pace unzip that;accidentally;gorgeous;rosin mostly;nervous fast once;role;29778;across;after querulous;when fussy;impossible;22226;pro ew;incidentally enthusi;scared;pushy;worse into;rebuild;digitize label;slide misspend tribu;amid;ew;extremely rosemary d;pronoun magnetize;and psst;19643;thoroughly peony;8342
9;fit silently rawhide;weatherize battle whereas;whoever trench bette;flint about;youthful whose pillb;duh vainly integer;divert stuff seriously;marathon wherever pi;enormously and;1801;which obstruct;co-producer;our blindly atop;ugh;3259;exactly platypus yum;whoever except;as disconnection sil;than;if finally yippee;helplessly yuck;versus factorise;lest;save;husk huzzah excludin;for;internationalize ins;aw unfortunate mispr;30177;lively rise wring;23641
10;ameliorate superficial;celsius mature who;sedately longingly l;collectivization;recovery;incidentally;amid immediately;inside;wrongly;9552;milestone consequent;tomb forenenst rear;woot;obvious sand however;4311;enroll;ramp;pip;jealously thankfully;helpfully splay formamide;quizzically curiousl;sorrowful hm;gratefully;nor across;afore mmm;provided;wherever mean;paralyse hopelessly ;13461;yuck recommendation inculcate;16070
